Rating,Review,Name
5.0,Good service and tasty food. Loved Mr. Vishnu's service,
5.0,Excellent experience. Ajay Ji from Food Service does a fantastic job in serving food and suggests a good variety of food according to the taste of the customer.,
5.0,Beautiful food Beautiful service by staff especially Ajay ji,
5.0,Excellent food quality. Excellent service by Ajay,
5.0,Thank you to Ajay for his wonderful service.,
5.0,"It was a wonderful experience at kebab and chitrkoot curries, wonderful food, wonderful service, great.",
5.0,Food is always good and service is the most important factor that we continue to come to KCC in particular Vishnu ji...,
5.0,The very tasty food... the service provider Shri Vishnu ji was very cordial..service was good.,
5.0,The restaurant is well maintained. The staff is professional. The atmosphere inside is really good. Perfect for family and singles. You can have a good time with good food. Chicken Tandoori is great here. The main meal also seems affordable compared to other restaurants here in the same area.,
5.0,Have a nice meal! Great service by Ajay Ji,
3.0,"If you are a chicken lover, try special chicken matka and special chicken tandoori Also try mushroom masala veg The atmosphere is good but has a very slow service..",
5.0,"1. The decent place, 2. the food was good, 3. the instructions concerning spices, etc. were followed well, 4. the service was decent 5.",
5.0,The food was incredible and the quantity was decent. The staff was polite too. Vishnu served well.,
5.0,Excellent food and services by Mr. Vishnu. Thank you for the good recommendations and yumm food.,
5.0,Our Vishnu server was also very good.,
5.0,"The food service was too good, our server ( Vishnu ) was also very nice to us.",
5.0,"The food here is amazing and worth trying. The atmosphere is relaxing and really is a family restaurant, Mr. Vijay has conducted a very good service.",
5.0,"It is always a pleasure to come here. The food is excellent and better for non-veg lovers. Thanks especially to Mr. Ajay for always meeting our needs, serving us and making us comfortable.",
5.0,"Family dinner, a service of good taste. Ask Mr. Ajay, their best host and ours for the evening.",
5.0,Very good Food..Amazing service by Mr. Ajay.,
1.0,"After eating, I had food poisoning and had to be hospitalized. I strongly ask everyone to avoid eating here.",
2.0,"I was there several times, but yesterday was a bad experience in the chitrakoot branch, Yesterday I ordered chicken changezi, and the pieces were so small as to make two pieces on one piece, the leg size part was just 2"" long, I mean ...",
5.0,"I visited this restaurant, the incredible service and the staff is also pleasant. Especially thanks to Vishnu. He also takes comments.",
5.0,"We were served by Mr. Vishnu, our experience was good.",
5.0,I am very happy to visit the vathali branch & so kind of you Ajay for the wonderful service Thank you,
5.0,Vishu is a great host and served as well.,
5.0,"A wonderful experience, delicious food and excellent service by Ajay, Bappi Roy.",
5.0,Very nice experience! Good food and good service from Ajay!,
5.0,Vishnu prajapat has served us very well the service is very good and the general behavior of the staff and the taste of the food is impressive.,
5.0,Fantastic and authentic food and good service by Ajay,
5.0,"Vishnu served us very delicious food, he is very kind and humble.",
5.0,Beautiful food and service was good by Ajay ji,
5.0,"Mr. Ajay served us very well. He is very polite and recommended good dishes. The food was very tasty and the services, the atmosphere was really good.",
1.0,Received the burned dal. Absolutely the worst taste and service.,
5.0,"Ajay was a decent guy and we enjoyed our visit a lot, surely will visit soon",
4.0,We went there because someone had said that this place serves the best non-veg food in Jaipur. We visited the branch in Vaishali and it was easy to find on Google maps. The food was pretty nice. I can't say I was disappointed. The sheep chaap was delicious and the last maas was just as spicy as it was supposed to be. But the Afghan chicken was a little dry and a little bit of dropping. I was surprised to see that the staff was so courteous and hospitable.,
5.0,Ajay was very impressive with the services and the food was very good thank you very much for your services,
5.0,I had a good lunch here and Mr. Vishnu served very well.,
5.0,People should visit here. They have furniture and decorate the restaurant with Rajsthan culture. Have your food with silent music. Also the staff specially supported the Gandev server.Price is also affordable.,
5.0,A delicious experience. Great atmosphere and food. Ajay was very useful with the recommendations :),
1.0,"This restaurant served food in authentic Punjabi taste and we were the regular visitor for dinner. However, a few months ago they changed their chef / kitchen staff and the post servers that tasted pathetic all went sweet taste and the staff also did not have the skills of the food to serve and used to exercise more pressure to buy additional item. For a few months we thought that could be a short change but the food taste worse at each visit due to which we stopped going their. Tips to the owner to reassign the cook otherwise you will be in loss",
5.0,"We visited here for dinner after a busy day of Jaipur tourism. The service is fast. Everything was done with such care that from soup, we just loved. ...",
3.0,"The kitchen is well maintained and super clean. Try the Pudina chicken and avoid the biryani chicken. Pire biryani that I ate in Jaipur, they put pieces of chicken tandoori in the biryani and cooking rice separately. The staff must be attentive.",
1.0,"The tikka fish was pathetic... ... at sethi's we expected good quality saltwater fish, but unfortunately they served poor quality local fish and this also to the complete waste of money.",
1.0,Poor and Judgmental manager Customer judges based on their outfit. I was tired after a long trip and wanted to have food. He did not allow to enter by giving stupid excuses because I looked tired and wore slippers.,
5.0,"Best restaurant for non veg as we have tried tikka chicken, tikka fish, loliop chicken, kebab butter chicken, Masala papad, rumali roti, coca, taste is also superb, laziz and delicious, my real recommended chicken butter suggestion, chicken loliop dry chicken, Afghan chicken",
5.0,"If you are a non-vegetarian lover, this place is paradise for you in terms of food and taste. Food menu is very good as they serve chicken, meat and sea food. I am not sure of the availability of coffee, but soda and water is there.",
1.0,"I had a really disappointing experience with the ""Tikka fish"" that I ordered from Zomato. The packaging was of such poor quality that the fish was spoiled and unshakeable. I tried to join the restaurant several times to express my concerns, but they completely ignored me and even cut the call. To make things worse, when I visited the restaurant for dinner a few days ago, the staff's behavior was appalling. The toilet was dirty to the point where it was unusable. When I raised this problem, the staff answered grossly, rejecting my complaint with a comment on how a little dirt is normal.",
4.0,The first time it was a good experience... the second time it was right across the street...,
4.0,"Sethi Tikka kabab Curry is one of the best non-vegetable restaurants near the road ajmer, they have good staff behavior. Music can be weak. But it's good. Hygiene is the most important fact here. They serve very well. Parking is also good here. Little ventilation is needed here. Nothing is bad for her. Overall is too good. Food was too good. Taste and spoil.",
5.0,This exit from Sethi is quite easily perceptible being on the Ajmer motorway located just before the departure of the High Road. Great atmosphere and fresh decoration makes it worth a visit. Food is as usual good and we liked the boned chicken entrances. ...,
5.0,I tried their egg curry and it was very tasty.shall go again to try more articles.,
5.0,The tikka of Sethi is a destination that will serve you the delicious delights..awsm taste and literally you will be in love with this place. I ordered food on my son's birthday and it was so delicious that everyone wondered about the food .. and now it's our favorite food destination.. you should go for it ...tasty bites..,
4.0,The place is nice and beautiful. The food was good n the quantity is really good for the price. Ttge personal was good. The service was fast. It is a good place to go if u love chicken n you are hungry. Chicken noodles is delicious.,
1.0,We expected quality fish in tikka fish but the fish used was low quality local fish... Very disappointed...,
5.0,Excellent service. Mouth watering food. Try the chicken peshawari and the chicken dhaba and the paneer tikka masala.,
5.0,Incredible atmosphere. So clean .staff is so friendly. They treat so well.give damp fabric at the end. its value for money.must go place.,
1.0,Pathetic service and restaurant. I placed an order half an hour before and finally I was refused for the order by mentioning that the restaurant is closed and the only option is taken away. Never seen a restaurant that denies customer at the last moment even after placing an order. Never visit this place.,
5.0,Good taste of food Super fast service,
5.0,One of the best non-vegetable. Jaipur restaurant. Peshawari chicken and try Chinese too. Chicken chicken must try Best Chicken Restaurant,
5.0,The best restaurant in Jaipur for non vegetarian lovers food is amazing chicken peshawri is king of menu must visit,
4.0,Nice place to eat. Sweet spices in non vegetal.. everyone can eat. I recommend a place for family to meet.,
3.0,Service time is not good but the food is very tasty especially chicken kabab,
4.0,"Impressive atmosphere, good food and good staff. Must visit the place for non-veg lovers.",
3.0,Parking space could be a problem if there's a rush.,
1.0,FOODS ARE GOOD PERSONNEL BEHAVIOURS ARE VERY BAT AND PERSONNEL BEHAVIOURS IS NOT CO-OPERATIVE BY PERSONNEL BILKUL BI MAT JANA,
1.0,Never order Biryani.. Go ahead and just order tandoori Except tandoori every item is a waste,
1.0,Horrible experience..service was bad..food was too salty.. lassi also v did not like.. no light was there.. terrible..,
5.0,"The service is fast, the staff behaviour is very polite and the food is delicious at a decent price.",
5.0,Classic food for amateurs ... Peshawari chicken n chicken tikka masala are must tris,
2.0,"We ordered the food snd told them to bring the papad masala first as we were hungry. We waited a long time but the papad masala did not come . it came after our order and we told them of the cansel. we had ordered Malai kofta in the main course, but it was sweet and tasteless. we could only eat a chapati although we were hungry.",
4.0,Excellent food with great taste. Nice place for dinner with friends and family.,
5.0,"If you're a non-plant lover, then I'll recommend this place. budget prices with amazing foods.",
5.0,Decent food and reasonable prices. Loved hospitality,
4.0,"The restaurant Sethi Kabab Curry offers a delicious fusion of Indian and Chinese cuisine, with their kababs being an exceptional dish. The kababs are tasty and well prepared, highlighting the restaurant's expertise in grilling and seasoning. ...",
3.0,"While Indian food like tandoori and curry are good, Chinese food was extremely bad. Who puts kaccha paneer in hakka noodles? Chilli chicken was extremely bad. They charged an additional $40 to make Manchurian veg in the sauce. ... but all the dish was worth throwing in the trash. I fed chicken fried rice and chicken lollypop to street dogs. I think since Chinese is not their main menu, they had a help trying their hand at it. Instead they should remove Chinese dishes from the menu.",
5.0,"Swaad aagya!! Decent quantity, kind of overload if you order non-veg meals. Sorted both veg and non-veg meals and had to say that it's watering the mouth. One of the best sauces I've ever had. The service was excellent and the staff is humble. Adorated the place, try it.",
5.0,"The best non-vegetal restaurant in the city. Pleasant atmosphere, delicious food, fabulous service.",
5.0,I calibrate my birthday party here. .. such a beautiful Indian cuisine restaurant..I love it.,
4.0,Excellent preperation. Decent portion. Liked chicken Dhabi.,
5.0,"Special mention items are Tandoori chicken and Tikka Masala chicken (Boneless). The service can be slightly slow in the evening, especially on weekends.",
1.0,Very worse food and all the services are worse.i ordered for mutton .stale Food and it was unhealthy. I went there the last time. I urge the owner of this hotel Sethi plz to correct all the services and the quality of the food. Because no one will come there for the best quality not for the wastage of money.,
1.0,"I ordered online by Swiggy, the worst food experience ever. Their packaging for Chicken Tandori is in a paper/board box with some almunium leaf coating inside, with SWIGGY n ZAMATO BRANDING. They should instead focus on food ...",
5.0,Being a lover of food I liked the dish Pindi chicken tikka- must try flat. I was so juicy n fresh full of flavors. Service was given by Captain Arun Kumar and Chef Chandan made wonderful chicken waiting. Services of the restaurant Sethi is exceptional.,
4.0,The restaurant serves good non-vegetarian dishes and I especially liked the chicken Iqbali. It is a delicious boneless chicken dish in the white flavor. It is not very expensive as well.,
3.0,"The food here is good, as expected from a branch of Sethis. But the service is not very good and the atmosphere is clean at all, According to the standards of a restaurant like this one, it was not clean at all. The cutlery in which the food was served was not so clean, which made the overall experience very bad",
4.0,The kebabs are very good... Very tender chickens but the biryanis are not worth it... The quantity is as good,
1.0,"Very pathetic food quality they do not serve the food according to the customer's request. Today ordered egg curry in white fat, but as usual come to serve according to their choice. Ask everyone not to go there as the fees are high and the quality is worse As expected the place where takes care himself busy taking alcohol in the black chancellor without taking care of the customer's requests.",
1.0,"The food was pathetic in taste. Moreover the instructions given on the food to be served were not followed. The service staff admitted that it was their fault. Overall, it was a very bad experience.",
2.0,Mouse running around the restaurant. Staff say he comes every day from the neighborhood.,
3.0,"I ordered chicken tandoori.. no doubt the food is tasty and good, but the worst thing I found is old and smelling chutney..and this is not the first time. I found it consecutively second time. I think they wrap the chutney in the morning and until the delivery time it becomes wasted.. And they deliver even when we open the chutney it gives such a bad smell that it is difficult to eat the food as well.",
4.0,"The food is good. We tried four times. The chicken Afgaani is the best for children and the chicken Peshawari is spicy and tasty. On only four times the quality of the chicken was not good. Nevertheless, I will definitely recommend this place for people who prefer non-vegetarian food. The atmosphere is ok. They do not serve alcohol at all.",
2.0,"Anyone looking for an authentic taste for kebab and tikka and curry, this place is not recommended.But this good wise cost.The chicken butter was too sweet to taste anything else, they served it with in 5 min of order, the Afghan chicken was not cooked properly and there were no flavors.",
4.0,Sethi Kebab in Jaipur is a decent place with a variety of good non vegetarian options. The food is tasty and satisfying. An ideal place for those thirsting for tasty kebabs and delicious meat dishes.,
5.0,One of the best non vegetarian dishes in the city of Jaipur. Wide range of Starters and main dish. Atmosphere is pretty and classy for family and friends. More recommended.,
5.0,"Good value for money! Excellent food, also good for vegetarians!",
5.0,It was my favorite place to eat. Not only vegetarian but not vegetarian is also quite delicious. I have been there several times but the food is always lip smacking and affordable.,
3.0,"Overall this pocket friendly, best test. services are good. But the ventilation of the smoked kitchen is not correct.",
4.0,"This is a good place to order from your car parking and get served by the servers waiting for your order good parob. So, I ordered chicken afgani and its big. The price is of course on the cheap side but the options we see here balance.",
5.0,Best for non veg infact enthusiasts it reels are awesome,
5.0,"I loved, although at the beginning 340 for the tikka chicken felt a little expensive so compared to the online order.. but considering the atmosphere, the quantity and the service...",
5.0,The experience is extremely good. Pradeep serves food and management.,
1.0,"Yesterday, December 28, 2022,We ordered biryani chicken, it is one of the worst biryani we have ever had.Rice used in biryani are totally intended for animals not for humans.",
3.0,"The quality of the food is great. But is better person to remove food because the air conditioning of the two sitting areas is very bad. They should install more air conditioners in both areas on the first floor as well as basement. The staff is good, the servers are well trained.",
5.0,"I sometimes eat non veg and instead of googling other places and reading their reviews I prefer to order non veg entries and main courses of Sethi tikka kabab curry. Cuisines are not too spicy or mixed they just have the right amount of spices to satisfy the dish. The atmosphere is good, they keep the restaurant clean and disinfected. The staff is humble.",
1.0,"This is the worst experience ever and their food is so insipid that you can't even eat, so their shoppers are very less way, for the worst tasteful food they take over without even mentioning is their menu. I never suggest anyone to anyone.",
5.0,Good food. Personal and polite service. Nice atmosphere.,
4.0,"Good atmosphere, but the food was uncooked.",
3.0,"Not until the brand, the service was great but the taste was really weird, the biryani rice tasted stale and very different. And their hyped tawa chicken was also just okay. Very different from the taste of other tawa chickens that we had, the sauce was watery like chicken curry.",
1.0,The worst egg curry I've ever eaten.,
1.0,"We had chicken peshawari, no taste.",
5.0,This is a good place to have delicious non veg dishes in nagar nirman.. The best part is that they serve u in the car itself and the service is also fast.. We had a spicy sheep preparation that was very delicious... You should definitely try once..,
4.0,This hotel cum restaurant is good if you want to stay near Delhi - Ajmer highway in Jaipur. It is located near the road Churu-Sikar. The location is good and the food is medium here. The rooms are also good in size but the shape is not appropriate. The rooms are avarage. General hotel is medium. The service is good and the managers/owners are polite and too good in behavior. The atmosphere is not good because it is right next to the highway so there is so much noise and dusty soli.,
5.0,Very good staf very good owner price is very good tasty food,
4.0,It was v good... it's Diamond Special flat was so owsm..i really like .. so the behavior of the employees was v respectful ...,
4.0,It's not for late in the night with family due to food industrial area is the average service is a good way of conversation staff is ok 1st feed is for seminar and small party dinner and cake cup is separated Overall good for boys party and food is good at reasonable price,
5.0,"I just eat a Paratha paneer in only 80rs it's great, also served salad daal makhani and aachar. It's on 200ft bypass near ramp .badarana sabji mandi",
1.0,"Very bad experience, the owners are very greedy, do not reduce even 1 average food quality... But near it an electronic store has located its name I think electronic tanwar I ...",
5.0,The quality of the food is delicious. The prices are also economical. To take away they give you all the required things without asking.,
5.0,Nice khan.,
3.0,It's okay.,
5.0,Great.,
5.0,All right.,
4.0,The food here is very tasty fresh and friendly pocket.,
5.0,Good service and a healthy diet at low prices,
2.0,They will give you good roti not aata roti. Masala are not well fried,
4.0,1.Good service. 2.Delicious food. 3.Cost appropriate. ...,
5.0,Very good sarvice and good good and the rate is very low good hotel,
1.0,Really very bad experience. Not good for healthy foods.,
5.0,The best taste. Neat & clean place.,
4.0,Economic restaurant...You can get to eat 2 people meals in 180,
3.0,"Best for only drivers like Truck, Bus, Auto Rekha and Singal single boys...",
5.0,Decent price good quality of good food for the family as well as the traveller.,
5.0,Service not beating your service man does not give the appropriate service and does not treat the client well,
5.0,Nice.,
5.0,Everything's good.,
5.0,Best Jaipur service at a reasonable price Thankyou Diamond Restaurant,
5.0,Best meal at 60 Rs only wow.. loved the tev tamatar,
5.0,Good,
5.0,DIAMOND HOTEL IS A BETTER AND GOOD KISHAN G AND SUIL G AND OTHER PERSONS IS VERY GOOD PERSONAL,
4.0,Nice hotel. Good food and service,
5.0,Beautiful variety of very talented personal food,
3.0,Good food,
3.0,Close to Ajmer - Delhi bridge suitable for truck drivers and cheap rims n rooms,
5.0,Good food Good parking,
4.0,Special thali was great and the tables are sticky,
5.0,Very good service and staff behavior is good ...,
4.0,"It was near my exam center, the dolphin children's academy, and I ate my lunch here.",
2.0,"The cleanliness was not good, no paper on the table, otherwise the food was not bad.",
5.0,Nice.,
5.0,Good,
5.0,Super hot restaurant nice,
5.0,"Beautiful lift Best dinner, Nice lunch......",
5.0,Very nice food and service,
5.0,Very delicious food and good service,
5.0,A great restaurant with friends and family...,
1.0,Not good water not saplay for rum,
5.0,Good food and good services...,
5.0,"Adorated the very neat and clean place, amazement atmosphere, the staff is also good especially mukesh who helped us to order food and also good and polite behavior. Very nice photo taking place in the coffee.",
5.0,An incredible experience in brief my family and friends loved him. Thank you for the wonderful service,
4.0,"All good. One can be here once, which needs peace, taste and atmosphere.The service is good, and the staff is well behaved and supportive. Neat & cleanliness is good to see everywhere.",
5.0,"Excellent food, a pleasant atmosphere and an exceptional service from Mr. Pushpendra have made our culinary experience exceptional.",
5.0,Wow... I loved this place so much..I'm going to celebrate my second birthday as a son in this place....no words to describe...,
5.0,An amazing place. - A place where you can visit again and again because it has everything from the Amazing Vibes to delicious and tasty food in Belle Ambiance and spacious living room arrangement inside and outside. ...,
5.0,"Very nice atmosphere and amazing hospitality, we booked this place for a birthday function. The atmosphere is very pleasant, several options of food to choose from, taste ...",
5.0,"The house of Tandoor (HOT) is located in Patel Marg, Mansarovar, Jaipur. The atmosphere is impressive and the food is delicious too. Good place for dinner with family and friends. We ordered vegetarian and non-vegetarian cuisines with a variety of tandoori breads. We have faced few problems related to service.",
5.0,"Excellent food and service experience, loved the atmosphere, thanks to the HOT team",
1.0,"The staff seemed too busy on the phone and we told them that the place is not clean and that there are flies on the table - they didn't do anything, not even one answer. The food was badly cooked.",
5.0,"After all these years and looking at many restaurants in different countries, I am delighted to write an opinion about the restaurant my family has (full disclosure). It was an absolute pleasure to visit, dinner and soak up the HOT experience has to offer. The food (the best part), the atmosphere, the interior and the outside, the vibrations, the options and everything else was remarkable. Although a few days I found, the service of being slow as they were few staff, but the food compensated for it. I loved Junglee maas, pasta, dahi k stholey, biryani, hara bhara kababab, cheese chooza, tremors and coffees. They also respond to the special requests of Soup, khichdi, bland food for seniors and offer special pizzas, pasta or fries, shakes for children. The restaurant has an indoor and outdoor restaurant, coffee, banquet room.",
5.0,This place is so nice Food was so amazing and delicious There was a really good presentation ...,
5.0,"So I recently visited this place with my friends.This place is so pretty, totally in love with this place. They have a lot of seating options. was quite impressed by their food and service... and in the food I tried starters, drinks, main dish and desert. Everything was superb. Honestly say that it's...",
5.0,I really like the atmosphere of the place very cozy and warm. Talking about food was very delicious and the presentation was up to the level. The place has both outdoor and indoor sitting.i really loved the blue lagoon and Tandoori breader platter.I recommend this place to all my friends.,
5.0,"I visited Kebabs & Curries with a non-vegetarian friend. Though I’m vegetarian, they managed to provide delicious veg options, and my friend also enjoyed the non-veg dishes.

The ambience was amazing, and the overall atmosphere was great. The staff were polite and very helpful. A good place to enjoy a meal!",Manjari Priya
5.0,"In a city that is Vegetarian food dominated, this place was a boon and close to my hotel.
A must visit restaurant in Jaipur, amazing service, food, portion sizing and pricing.
Very neat, toilets were clean, very polite wait staff, they made the food mild spicy for us on request.
Desi Ghee Mutton Curry and Afghani Chicken Momos are a must try!",Varun Sanil
1.0,"Im Athrv joshi living in jaipur rajasthan 302020, where i went to a restaurant Kebabs & Curries chitrakoot vaishali nagar jaipur on 27th Feb 2025 around 10:45 PM approx.
There i ordered paneer tikka masala garlic naan and veg biryani and then i started eating food and when i have started eating biryani i felt unconscious and noticed a chicken piece in it and that was chicken biryani not veg biryani which i ordered and im  bhramin hindu by caste and after that they are arguing with me and harassing me for that this is totally unacceptable being such a big brand then i called the police also but i haven’t got the satisfaction so please help me.",ATHRV JOSHI
5.0,The place is good to go all the time for either a quick bite or a tummy full feast ..AJAY is the guy who helps in everything from choosing food to going for any other thing and always comes up with a gesture that We are not at any ordinary place but sitting and dining at my home only ..many thanks for him ..keep shining 🥂,Laxman Singh Kavia
5.0,Kebabs and curries serves most authentic nonveg in the j town where you can find most delicious food also they serve food night till morning 4am 😍🙌🏻💫 …,Khanawithmarjina
4.0,"Good food, menu consists of variety of non veg items. They have mentioned their speciality items on the first page of the menu card and I would recommend to try this. Ambience and decor is vibrant, staffs are courteous. Special mention Ajay who is a well behaved personality, served us well. Though food took little more time to be served than usual but the taste compensate that.",Sumit Das
5.0,"I've been a regular at kebabs and curries company, and it remains the best non-veg restaurant in Jaipur! The flavors are consistently incredible, and the quality of the food is always top-notch. The tandoori Chicken Special & desi ghee mutton curry is a must-try, especially the chicken Seekh kabab and special KCCO murgh biryani. The ambiance is warm and inviting, making it a great place for both family dinners and special occasions. The staff is attentive and friendly, ensuring a delightful dining experience every time. Highly recommend KCCO for anyone looking to enjoy the best non-veg cuisine in Jaipur!",Gagan Verma
5.0,"Very tasty food and professional service.
Mr Ajay was the best here, served us with delicious food and took good care of us.
Thank you!",Abhishek
5.0,"Kebabs and Curries is my favourite go to place. The food was well presented and freshly prepared. The ambience looks super good. You can visit this place with your friends and family.

I ordered Malai Kofta , Paneer tikka maslaa , Paneer tikka biryani , Veg manchurian gravy , Veg chowmein and I must the taste of food was very good certainly biryani was exceptional in taste. If you are searching for food restaurants then you must visit this place.

Do follow On IG : @thefoodiepedia",Pranjal Joshi
5.0,"Recently tried this restaurant and damn my experience here was so good. The staff was very kind, ambiance was very nice so was the food. I had ordered Paan Mojito, Malai Soya Chaap, Paneer Tikka Masala, fruit Raita with Laccha paratha, everything was so flavourful and the portions were great. If you are looking for a family friendly good restaurant then you must visit them. Highly recommended 🌸.",Kanishka Chauhan
5.0,Had one of the best Indian food in ages here. The food is amazing!! Mr Ajay was very polite and courteous while attending us. Id recommend 10/10,Pratik Mathur
5.0,"Service was good , vishnu was very attentive and made sure that we had a great time. He was very polite and had great mannerisms.",Akshat Seth
3.0,Fish was of ahata quality. Prawns were ok. Egg curry and Hara bhara kebabs were average. I would rather go to BBQ nation at this price range.,Chankey Pathak
5.0,Really good food and food family friendly vibes. Staff is very polite especially Ajay.,Aditya Mathur
5.0,"Good Cold Coffee.
Very creamy and low in sugar.
Service was quick
Washroom was clean and restaurant had good lighting and ambience.",Vivek Bhakar
5.0,I always visit Kccc when i am in jaipur. But this time their cheese garlic naan exceeded my expectations! Which are already set very high! Ajay was a wonderful waiter. Would definitely visit again.,Prakash Aneja
5.0,Everything was so good. Special mention to their staff named Vishnu- he greeted us very well and was very helpful all the time,Ajay Sharma
